host,lng,lat
perfson1.zeuthen.desy.de,13.63271,52.34475
perfsonar-lt.cern.ch,6.04593,46.232498
ps-latency.lhcmon.triumf.ca,-123.2308164,49.2473871
atlas-npt1.bu.edu,-71.0993,42.3451
mwt2-ps03.campuscluster.illinois.edu,-88.23,40.107487
sbgperfps1.in2p3.fr,7.7095,48.6056
psl01.pic.es,2.1084649,41.5008345
llrpsonar2.in2p3.fr,4.8755,45.7655
mwt2-ps02.campuscluster.illinois.edu,-88.23,40.107487
iut2-net6.iu.edu,-86.15712,39.882613
perfsonar-2.t2.ucsd.edu,-117.2359,32.8807
psonar2.lal.in2p3.fr,4.8833,45.7667
psb.hpc.utfsm.cl,-71.597129,-33.034935
perfsonar.nersc.gov,-122.2536,37.8668
perfsonar-alice.sut.ac.th,100.4667,13.75
psum02.aglt2.org,-83.7113,42.3241
perfson1.ppgrid1.rhul.ac.uk,-0.552255,51.426812
uct2-net2.mwt2.org,-87.6027,41.7804
psonartest2.fnal.gov,-88.254669,41.8415
psmsu05.aglt2.org,-84.4762,42.7241
pygrid-sonar1.lancs.ac.uk,-2.7997,54.0465
t2ps-latency.physics.ox.ac.uk,-1.25,51.75
ps1.kipt.kharkov.ua,36.250138889,50.087361111
ps02.cat.cbpf.br,-43.174,-22.954
ps-bandwidth.atlas.unimelb.edu.au,144.96,-37.8
btw-lat.t1.grid.kiae.ru,37.477491,55.796817
lcg-sonar01.hep.ucl.ac.uk,-0.133566,51.524749
t2ps-bandwidth.physics.ox.ac.uk,-1.25,51.75
lhcperfmon.bnl.gov,-72.8868,40.8695
perfmon.dur.scotgrid.ac.uk,-1.574575,54.766576
ps2.truba.gov.tr,32.762,39.8766
ps2.truba.gov.tr,32.762,39.8766
ps0001.m45.ihep.su,37.6068,55.7386
sonar1.itim-cj.ro,23.6,46.7667
,73.0113,33.6957
hcc-ps01.unl.edu,-96.702991,40.812957
hepsonar1.ph.liv.ac.uk,-3.0,53.4167
perfsonar1.ihepa.ufl.edu,-82.3248,29.6516
perfsonar-2.t2.ucsd.edu,-117.2359,32.8807
perfsonar-bw.sprace.org.br,-46.665278,-23.52433
ps-latency.lhcmon.triumf.ca,-123.2308164,49.2473871
lcg-bw.sfu.computecanada.ca,-122.9204,49.2788
lapp-ps02.in2p3.fr,6.1605,45.9215
lcgperf.shef.ac.uk,-1.486148,53.3809
psum02.aglt2.org,-83.7113,42.3241
perfsonar-ps-latency.igfae.usc.es,-8.55831,42.877474
lcgperfsonar.dnp.fmph.uniba.sk,17.1167,48.15
sbgperfps1.in2p3.fr,7.7095,48.6056
psl01.pic.es,2.1084649,41.5008345
perfsonar-lt.sprace.org.br,-46.665278,-23.52433
perfsonar-ps.ndgf.org,15.0,62.0
lcg-bw.sfu.computecanada.ca,-122.9204,49.2788
perfsonar.ihep.ac.cn,116.3883,39.9289
lcg-sonar01.hep.ucl.ac.uk,-0.133566,51.524749
lutps.lunet.edu,-97.259847,35.94519
lcgnetmon02.phy.bris.ac.uk,-2.5833,51.45
nanperfs02.in2p3.fr,-1.5215,47.2818
perfsonar-cms2.itns.purdue.edu,-86.917,40.425
perfsonar-latency.esc.qmul.ac.uk,-0.0931,51.5142
perfsonar2-de-kit.gridka.de,8.43226,49.096224
,73.0113,33.6957
ps2.kipt.kharkov.ua,36.250138889,50.087361111
uct2-net3.mwt2.org,-87.600453,41.789889
tau.ijs.si,14.4872183,46.0419302
lhcmon.bnl.gov,-72.8868,40.8695
perfsonar2.hep.kbfi.ee,24.659926,59.399231
atlas-npt2.bu.edu,-71.0993,42.3451
perfsonar02.ft.uam.es,-3.6922,40.4086
,37.6184,55.7485
perfsonar.ultralight.org,118.1253,34.1377
heplnx130.pp.rl.ac.uk,-1.314601,51.575726
perfsonar01-iep-grid.saske.sk,21.24,48.73
ps0002.m45.ihep.su,37.6068,55.7386
ps02.cat.cbpf.br,-43.174,-22.954
perfsonar02.lcg.cscs.ch,8.1551,47.1449
psuta02.atlas-swt2.org,-97.292,32.771
psmsu05.aglt2.org,-84.4762,42.7241
ps01.cat.cbpf.br,-43.174,-22.954
perfsonar.nersc.gov,-122.2536,37.8668
psonartest1.fnal.gov,-88.254669,41.8415
psonartest2.fnal.gov,-88.254669,41.8415
perfsonar-lt.sprace.org.br,-46.665278,-23.52433
psonar3.fnal.gov,-88.254669,41.8415
lapp-ps02.in2p3.fr,6.1605,45.9215
perfsonar02-iep-grid.saske.sk,21.24,48.73
t2-pfsn1.jinr.ru,37.1667,56.7333
uct2-net4.mwt2.org,-87.600453,41.789889
ps-bandwidth.lhcmon.triumf.ca,-123.2308164,49.2473871
iut2-net8.iu.edu,-86.15712,39.882613
clrperf-bwctl.in2p3.fr,3.0833,45.7833
btw-lat.grid.kiae.ru,37.477491,55.796817
PERFSONAR02.CMSAF.MIT.EDU,-70.983219,42.597763
atrogr007.nipne.ro,26.03,44.35
nanperfs02.in2p3.fr,-1.5215,47.2818
epgperf.ph.bham.ac.uk,-1.9167,52.4667
perfsonar-alice.sut.ac.th,100.4667,13.75
t2ps-latency.physics.ox.ac.uk,-1.25,51.75
perflat.ciemat.es,-3.72771,40.45464
sampaps02.if.usp.br,-46.7353522,-23.561566
grid-perfsonar.hpc.susx.ac.uk,-0.087265,50.865901
psonar1.lal.in2p3.fr,4.8833,45.7667
psum02.aglt2.org,-83.7113,42.3241
perfsonar-latency.esc.qmul.ac.uk,-0.0931,51.5142
psific02.ific.uv.es,-0.4255,39.5149
ps2.kipt.kharkov.ua,36.250138889,50.087361111
alice14.spbu.ru,29.826138,59.881592
pc138.physics.uoi.gr,20.8380516,39.6159792
lhcmon.bnl.gov,-72.8868,40.8695
uct2-net1.mwt2.org,-87.600453,41.789889
btw-bw.t1.grid.kiae.ru,37.477491,55.796817
heplnx129.pp.rl.ac.uk,-1.314601,51.575726
psuta02.atlas-swt2.org,-97.292,32.771
nettest.lbl.gov,-122.2196,37.8309
ps2.truba.gov.tr,32.762,39.8766
serv04.hep.phy.cam.ac.uk,0.092782,52.208
grid-perf1.physik.rwth-aachen.de,6.048767,50.781444
perfsonar.ihep.ac.cn,116.3883,39.9289
lcg-bw.sfu.computecanada.ca,-122.9204,49.2788
llrpsonar1.in2p3.fr,4.8755,45.7655
perfsonar-ps-bandwidth.igfae.usc.es,-8.55831,42.877474
sonar1.itim-cj.ro,23.6,46.7667
hcc-ps01.unl.edu,-96.702991,40.812957
lhc-bandwidth.twgrid.org,121.6166,25.0411
perfsonar-bwctl.accre.vanderbilt.edu,-86.777,36.1473
perfsonar-grid.uaic.ro,27.6,47.1667
psb.hpc.utfsm.cl,-71.597129,-33.034935
ps-latency.hepnetcanada.ca,-123.3655,48.4267
pygrid-sonar1.lancs.ac.uk,-2.7997,54.0465
ps01-l.farm.particle.cz,14.4688,50.1234
ps-bandwidth.atlas.unimelb.edu.au,144.96,-37.8
ps02.iihe.ac.be,4.3333,50.8333
llrpsonar2.in2p3.fr,4.8755,45.7655
psl01.pic.es,2.1084649,41.5008345
perfsonar2.recas.ba.infn.it,12.1097,43.1479
